Values;Mean;Std;Median
X;-0.38998368790589355;-0.39721025240755353;0.05287731655188804
Y;0.43425046091149316;0.4324778920859991;0.077048059672963
Z;1.8363531047314146;1.8430915920756357;0.08377595487048513
R00;-0.7053022706631722;-0.710596139317849;0.08662646453538612
R01;0.22277797834964258;0.22614891468827433;0.06525096815861799
R02;0.6622847875602628;0.6648726760766795;0.05035579730815873
R10;0.042076401896382544;0.04722457057535277;0.07052551534513657
R11;0.9428534007021683;0.9596162878983406;0.15212804651794973
R12;-0.2761560066670306;-0.2760985048864365;0.06984347011330067
R20;-0.6835883124332228;-0.7016235087405248;0.14493898658721466
R21;-0.17250228406472212;-0.16361359377824222;0.06511349903249448
R22;-0.6826536935731472;-0.6923868290063795;0.108105680511752
